"id";"case_id";"queue";"template_name";"operators";"queue_trace"
"8351";"2000476114";"Verify";"Pall India Pvt Ltd";NULL;"Verify"
"8352";"2000476115";"Verify";"HAMS BIOTECH PVT LTD ";NULL;"Verify"
"8353";"2000476116";"Verify";"Pall India Pvt Ltd";NULL;"Verify"
"8354";"2000476117";"Verify";"Maa Santhoshi Fire  Safe";NULL;"Verify"
"8355";"2000476118";"Verify";"Maa Santhoshi Fire  Safe";NULL;"Verify"
"8356";"2000476119";"Verify";"Visakha Industrial Gases Pvt. Ltd";NULL;"Verify"
"8357";"2000476120";"Verify";"value chain solutions pvt ltd";NULL;"Template Exceptions,Verify"
"8358";"2000476121";"Verify";"Entire Printers";NULL;"Verify"
"8359";"2000476122";"Verify";"Visakha Industrial Gases Pvt. Ltd";NULL;"Verify"
"8360";"2000476123";"Verify";"Maa Santhoshi Fire  Safe";NULL;"Verify"
"8361";"2000476124";"Verify";"Entire Printers";NULL;"Verify"
"8362";"2000476125";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8363";"2000476126";"Approved";"Primitive Industrial Engineering Solutions";NULL;"Template Exceptions,Verify,Approved"
"8364";"2000476127";"Verify";"Entire Printers";NULL;"Verify"
"8365";"2000476128";"Verify";"Maa Santhoshi Fire  Safe";NULL;"Verify"
"8366";"2000476129";"Approved";"pharmasecure pas india pvt ltd";NULL;"Template Exceptions,Verify,Approved"
"8367";"2000476130";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8368";"2000476131";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8369";"2000476132";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8370";"2000476133";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8371";"2000476134";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8372";"2000476135";"Verify";"Venkatasai Lifesciences";NULL;"Template Exceptions,Verify"
"8373";"2000476136";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8374";"2000476137";"Verify";"Pragati Poly Plast India Pvt Ltd";NULL;"Verify"
"8375";"2000476138";"Verify";"Pragati Poly Plast India Pvt Ltd";NULL;"Verify"
"8376";"2000476139";"Verify";"Pragati Poly Plast India Pvt Ltd";NULL;"Verify"
"8377";"2000476140";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8378";"2000476141";"Failed";NULL;NULL;NULL
"8379";"2000476142";"Approved";"FEC India Private Limited";NULL;"Template Exceptions,Verify,Approved"
"8380";"2000476143";"Approved";"AZTEC Consulting";NULL;"Template Exceptions,Verify,Approved"
"8381";"2000476144";"Verify";"Pragati Poly Plast India Pvt Ltd";NULL;"Verify"
"8382";"2000476145";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8383";"2000476146";"Verify";"Ambika Enterprises";NULL;"Template Exceptions,Verify"
"8384";"2000476147";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8385";"2000476148";"Verify";"Ambika Enterprises";NULL;"Template Exceptions,Verify"
"8386";"2000476149";"Verify";"Ambika Enterprises";NULL;"Template Exceptions,Verify"
"8387";"2000476150";"Approved";"Ultra Instruments";NULL;"Template Exceptions,Verify,Approved"
"8388";"2000476151";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8389";"2000476152";"Verify";"Mettler Toledo India Pvt Ltd";NULL;"Verify"
"8390";"2000476153";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8391";"2000476154";"Verify";"Sri Maruthi Packagings";NULL;"Verify"
"8392";"2000476155";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8393";"2000476156";"Verify";"Clean Air Technologies";NULL;"Template Exceptions,Verify"
"8394";"2000476157";"Verify";"Clean Air Technologies";NULL;"Template Exceptions,Verify"
"8395";"2000476158";"Verify";"Synergene Active Ingredients Pvt. L";NULL;"Verify"
"8396";"2000476159";"Verify";"GKR Constructions";NULL;"Verify"
"8397";"2000476160";"Verify";"GKR Constructions";NULL;"Verify"
"8398";"2000476161";"Verify";"Signet Projects Private Limited";NULL;"Template Exceptions,Verify"
"8399";"2000476162";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8400";"2000476163";"Verify";"Sai Lukshmi Aparna Associates";NULL;"Template Exceptions,Verify"
"8401";"2000476164";"Verify";"Sai Lukshmi Aparna Associates";NULL;"Template Exceptions,Verify"
"8402";"2000476165";"Verify";"Sai Lukshmi Aparna Associates";NULL;"Template Exceptions,Verify"
"8403";"2000476166";"Verify";"bioneeds india pvt ltd";NULL;"Template Exceptions,Verify"
"8404";"2000476167";"Verify";"Sai Lukshmi Aparna Associates";NULL;"Template Exceptions,Verify"
"8405";"2000476168";"Quality Control";"CTX Lifesciences Pvt. Ltd.";NULL;"Template Exceptions,Verify,Quality Control"
"8406";"2000476169";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8407";"2000476170";"Verify";"CTX Lifesciences Pvt. Ltd.";NULL;"Template Exceptions,Verify"
"8408";"2000476171";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8409";"2000476172";"Verify";"Ways Automation";NULL;"Verify"
"8410";"2000476173";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8411";"2000476174";"Verify";"CTX Lifesciences Pvt. Ltd.";NULL;"Template Exceptions,Verify"
"8412";"2000476175";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8413";"2000476176";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8414";"2000476177";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8415";"2000476178";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8416";"2000476179";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8417";"2000476180";"Approved";"Sruthi Associates";NULL;"Template Exceptions,Verify,Approved"
"8418";"2000476181";"Approved";"machinfabrik industries pvt ltd";NULL;"Template Exceptions,Verify,Approved"
"8419";"2000476182";"Verify";"machinfabrik industries pvt ltd";NULL;"Template Exceptions,Verify"
"8420";"2000476183";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8421";"2000476184";"Verify";"Nexogenix In-Corporation";NULL;"Template Exceptions,Verify"
"8422";"2000476185";"Verify";"Armstrong International Pvt. Ltd.";NULL;"Verify"
"8423";"2000476186";"Verify";"Mahatha Petroleum Pvt Ltd.";NULL;"Verify"
"8424";"2000476187";"Verify";"RS Engineers";NULL;"Verify"
"8425";"2000476188";"Verify";"blue galaxy";NULL;"Template Exceptions,Verify"
"8426";"2000476189";"Verify";"RS Engineers";NULL;"Verify"
"8427";"2000476190";"Approved";"Thermolab Sales  Services Pvt.Ltd.";NULL;"Verify,Approved"
"8428";"2000476191";"Approved";"Thermolab Sales  Services Pvt.Ltd.";NULL;"Verify,Approved"
"8429";"2000476192";"Verify";"Multisorb Technologies Inc";NULL;"Template Exceptions,Verify"
"8430";"2000476193";"Verify";"ALL-TEC Power Solutions";NULL;"Template Exceptions,Verify"
"8431";"2000476194";"Verify";"ALL-TEC Power Solutions";NULL;"Template Exceptions,Verify"
"8432";"2000476195";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8433";"2000476196";"Verify";"SODEXO FACILITIES MANAGEMENT SERVIC";NULL;"Template Exceptions,Verify"
"8434";"2000476197";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8435";"2000476198";"Verify";"Global Services";NULL;"Template Exceptions,Verify"
"8436";"2000476199";"Verify";"Multisorb Technologies Inc";NULL;"Template Exceptions,Verify"
"8437";"2000476200";"Verify";"Pragati Pack (India) Pvt Ltd";NULL;"Verify"
"8438";"2000476201";"Verify";"Connell Bros Company India Pvt Ltd";NULL;"Verify"
"8439";"2000476202";"Verify";"EKS Filter Technik (I) Pvt. Ltd.";NULL;"Template Exceptions,Verify"
"8440";"2000476203";"Verify";"MARUTHI RADIUM DECORATORS";NULL;"Verify"
"8441";"2000476204";"Verify";"Pragati Pack (India) Pvt Ltd";NULL;"Verify"
"8442";"2000476205";"Verify";"Alutop";NULL;"Template Exceptions,Verify"
"8443";"2000476206";"Approved";"Thermolab Sales  Services Pvt.Ltd.";NULL;"Verify,Approved"
"8444";"2000476207";"Verify";"Browncor Pac Private Limited";NULL;"Template Exceptions,Verify"
"8445";"2000476208";"Verify";"SODEXO FACILITIES MANAGEMENT SERVIC";NULL;"Template Exceptions,Verify"
"8446";"2000476209";"Verify";"Nalco Water India Limited";NULL;"Verify"
"8447";"2000476210";"Approved";"Thermolab Sales  Services Pvt.Ltd.";NULL;"Verify,Approved"
"8448";"2000476211";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8449";"2000476212";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8450";"2000476213";"Verify";"MARUTHI RADIUM DECORATORS";NULL;"Verify"
"8451";"2000476214";"Approved";"Thermolab Sales  Services Pvt.Ltd.";NULL;"Verify,Approved"
"8452";"2000476215";"Verify";"Pragati Pack (India) Pvt Ltd";NULL;"Verify"
"8453";"2000476216";"Verify";"Nalco Water India Limited";NULL;"Verify"
"8454";"2000476217";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8455";"2000476218";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8456";"2000476219";"Verify";"Laxmi Organic Industries Ltd";NULL;"Verify"
"8457";"2000476220";"Verify";"Jekson Vision Pvt Ltd";NULL;"Verify"
"8458";"2000476221";"Verify";"Connell Bros Company India Pvt Ltd";NULL;"Verify"
"8459";"2000476222";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8460";"2000476223";"Approved";"Thermolab Sales  Services Pvt.Ltd.";NULL;"Verify,Approved"
"8461";"2000476224";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8462";"2000476225";"Verify";"Connell Bros Company India Pvt Ltd";NULL;"Verify"
"8463";"2000476226";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8464";"2000476227";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8465";"2000476228";"Verify";"Origami Cellulo Pvt.Ltd.";NULL;"Verify"
"8466";"2000476229";"Verify";"FourC Healthvistas Pvt Ltd";NULL;"Verify"
"8467";"2000476230";"Verify";"Vital Therapeutics & Formulations";NULL;"Verify"
"8468";"2000476231";"Verify";"Oorja Technical Services Pvt Ltd";NULL;"Verify"
"8469";"2000476232";"Verify";"MARUTHI RADIUM DECORATORS";NULL;"Verify"
"8470";"2000476233";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8471";"2000476234";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8472";"2000476235";"Verify";"Connell Bros Company India Pvt Ltd";NULL;"Verify"
"8473";"2000476236";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8474";"2000476237";"Verify";"Thermolab Sales  Services Pvt.Ltd.";NULL;"Verify"
"8475";"2000476238";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8476";"2000476239";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8477";"2000476240";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8478";"2000476241";"Verify";"FourC Healthvistas Pvt Ltd";NULL;"Verify"
"8479";"2000476242";"Verify";"Oorja Technical Services Pvt Ltd";NULL;"Verify"
"8480";"2000476243";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8481";"2000476244";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8482";"2000476245";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8483";"2000476246";"Approved";"Thermolab Sales  Services Pvt.Ltd.";NULL;"Verify,Approved"
"8484";"2000476247";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8485";"2000476248";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8486";"2000476249";"Template Exceptions";NULL;NULL;"Template Exceptions"
"8487";"2000476250";"Verify";"Vijayasri Organics";NULL;"Verify"
